Address_x,Parcel Name,Agency,Current Uses,Total Area,Open Petroleum Spill,Structure Completed,Number Structures,Total Gross Area Structures,Major Use,Num Floors,BBL_int,LotArea,BldgArea,NumBldgs,YearBuilt,BBL,XCoord,YCoord,EBCx Cost per SqFt,EBCx Total Cost,Energy Cost per SqFt Before EBCx,Energy Cost per SqFt After EBCx,Yearly Savings After EBCx,Standard Retrofit Cost per SqFt,Energy Cost per SqFt After Standard Retrofit
3280 BROADWAY,,"NYPD, HPD",AGCY OFFICE,30675,,1927,1,184044,O9,8,1019860065,30675,184044,1,1927,1019860065,996489,237399,0.31,57054,2.24,1.92,58894,2.195,1.59
260 EAST 161 STREET,MELROSE/KINGSBRIDGE JOB CNTR,"HRA, DA-BX, ACS","FIELD OFFICE-PUBLIC, INDOOR STORAGE(WHSE)",23300,,1930,1,209136,O2,10,2024430100,23300,209136,1,1930,2024430100,1006630,240054,0.31,64832,2.24,1.92,66924,2.195,1.59
1780 GRAND CONCOURSE,MICSA/HASA,"ELECT, HRA","FIELD OFFICE-PUBLIC, INDOOR MAINT/STORAGE",22879,,1917,2,243047,O9,8,2027950014,22879,243047,2,1917,2027950014,1009433,247532,0.31,75345,2.24,1.92,77775,2.195,1.59
32 SMITH STREET,KINGS COUNTY CIVIL COURT,"OCA, HRA","FIELD OFFICE-STAFF, COURTHOUSE",12536,Yes,1959,1,193125,O3,18,3001540028,12536,193195,1,1959,3001540028,987540,190954,0.31,59890,2.24,1.92,61822,2.195,1.59
498 FULTON STREET,,OATH,AGCY EXECUTVE OFFICE,25222,,1920,2,180350,K9,7,3001600007,25222,180350,2,1920,3001600007,989002,190388,0.31,55909,2.24,1.92,57712,2.195,1.59
38 FLATBUSH AVENUE,"NEVINS ASSOCIATES, LP",HPD,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",33294,Yes,1971,1,246371,O1,6,3001620001,33294,246371,1,1971,3001620001,989575,189952,0.31,76375,2.24,1.92,78839,2.195,1.59
29-76 NORTHERN BOULEVARD,QUEENS.REGIONAL.+.HHUI.OFFICES,NYPD,AGCY OFFICE,60935,,1914,2,225805,O9,5,4002390049,60935,225805,2,1914,4002390049,1002411,212694,0.31,70000,2.24,1.92,72258,2.195,1.59
41-43 28 STREET,28-11 QUEENS PLAZA N-OFFICE,EDUC,AGCY OFFICE,25762,Yes,1914,1,188542,O1,9,4004170002,25762,188542,1,1914,4004170002,1001433,212620,0.31,58448,2.24,1.92,60333,2.195,1.59
158-11 JEWEL AVENUE,POMONOK BRANCH LIBRARY,QPL,BRANCH LIBRARY,97375,,1964,3,176600,O1,6,4067900022,97375,176600,3,1964,4067900022,1036881,206358,0.31,54746,2.24,1.92,56512,2.195,1.59
88-12 MERRICK BOULEVARD,JAMAICA JOB CENTER,"HRA, ACS",FIELD OFFICE-PUBLIC,45540,Yes,1972,1,202900,O2,10,4098150056,45540,202900,1,1972,4098150056,1040730,197428,0.31,62899,2.24,1.92,64928,2.195,1.59
60 BAY STREET,FIELD OFFICE-S.I.TORT.DIVN,"DEP, LAW, OCA","AGCY OFFICE, FIELD OFFICE-PUBLIC",28000,Yes,1969,1,168722,O1,9,5000050051,28000,168722,1,1969,5000050051,963092,172632,0.31,52304,2.24,1.92,53991,2.195,1.59
116 COLUMBIA STREET,JHS 22/HAM. FISH PARK LIBRARY,EDUC,"INTERMEDIATE SCHOOL, BRANCH LIBRARY",80040,,1958,1,217300,W1,3,1003350001,80040,217300,1,1958,1003350001,989909,201379,0.31,67363,2.52,2.28,52152,5.19,
2005 MADISON AVENUE,ARTHUR SCHOMBERG HS,EDUC,ACADEMIC HIGH SCHOOL,79640,,1965,1,200600,W1,3,1017520022,79932,200600,1,1965,1017520022,1001216,233301,0.31,62186,2.52,2.28,48144,5.19,
195 WEST 134 STREET,PS 175,EDUC,ELEMENTARY SCHOOL,77435,Yes,1957,1,219780,W1,3,1019190006,77435,219780,1,1957,1019190006,1000143,235959,0.31,68132,2.52,2.28,52747,5.19,
508 WEST 212 STREET,PS 98 & MINI-SCHOOL,EDUC,ELEMENTARY SCHOOL,65000,,1923,2,201756,W1,5,1022290012,65000,201756,2,1923,1022290012,1006980,255430,0.31,62544,2.52,2.28,48421,5.19,
600 TINTON AVENUE,PS 161 & PLAYGROUND (JOP),"EDUC, PARKS","ELEMENTARY SCHOOL, PLAYGROUND",91500,,1968,1,200640,W1,4,2026640029,91500,200640,1,1968,2026640029,1010479,235944,0.31,62198,2.52,2.28,48154,5.19,
2420 CROTONA AVENUE,GRACE H DODGE VOC HS,EDUC,VOCATION HIGH SCHOOL,96050,,1926,1,205250,W1,5,2031040007,96050,205250,1,1926,2031040007,1016762,250890,0.31,63628,2.52,2.28,49260,5.19,
1541 EAST 172 STREET,J. MONROE HS & ATHLTC FIELD,EDUC,ACADEMIC HIGH SCHOOL,345000,Yes,1924,3,218850,W1,5,2038640001,345000,218850,3,1924,2038640001,1017958,242606,0.31,67844,2.52,2.28,52524,5.19,
3800 BAYCHESTER AVENUE,JHS 142 & PLAYGROUND,"PARKS, EDUC","INTERMEDIATE SCHOOL, COMMUNITY PARK",675539,,1959,2,219285,W1,3,2049350001,675539,219285,2,1959,2049350001,1028477,262272,0.31,67978,2.52,2.28,52628,5.19,
125 STUYVESANT AVENUE,JHS 57 &  PS 26/PLYGRD (JOP),"EDUC, PARKS","EDUCATIONAL FACILITY, PLAYGROUND",273750,,1955,2,209250,W1,3,3016160001,273750,209250,3,1955,3016160001,1003036,191204,0.31,64868,2.52,2.28,50220,5.19,
140 LORIMER STREET,IS 318 & PLAYGROUND,EDUC,"INTERMEDIATE SCHOOL, PLAYGRND/SPORTS AREA",120000,,1959,2,203435,W1,3,3022460001,120000,203435,2,1959,3022460001,998453,195415,0.31,63065,2.52,2.28,48824,5.19,
235 PALMETTO STREET,"ENG 277, LAD 112","EDUC, FIRE","INTERMEDIATE SCHOOL, FIREHOUSE",117500,,1970,1,213635,W1,3,3033430001,117500,213635,1,1970,3033430001,1007756,192809,0.31,66227,2.52,2.28,51272,5.19,
380 IRVING AVENUE,BUSHWICK HS & PLAYGROUND(JOP),EDUC,"ACADEMIC HIGH SCHOOL, PARK",259540,,1910,2,218424,W1,5,3033650098,259540,218424,2,1910,3033650098,1008723,193018,0.31,67711,2.52,2.28,52422,5.19,
2510 AVENUE P,JAMES MADISON HS,EDUC,ACADEMIC HIGH SCHOOL,322000,,1925,1,211552,W1,3,3067880001,322000,211552,3,1925,3067880001,998782,161702,0.31,65581,2.52,2.28,50772,5.19,
1039 AVENUE K,PS 276 & PLAYGROUND,EDUC,ELEMENTARY SCHOOL,100000,,1931,1,210120,W1,3,3080340001,100000,210120,5,1931,3080340001,1009663,170275,0.31,65137,2.52,2.28,50429,5.19,
35-12 QUEENS BOULEVARD,AVIATION HS,EDUC,VOCATION HIGH SCHOOL,120000,,1958,2,217760,W1,6,4002260001,120000,217760,2,1958,4002260001,1003763,210092,0.31,67506,2.52,2.28,52262,5.19,
98-15 98 PLACE,IS 61,EDUC,INTERMEDIATE SCHOOL,162300,Yes,1948,1,207407,W1,4,4018910032,162300,207407,1,1948,4018910032,1022248,209616,0.31,64296,2.52,2.28,49778,5.19,
74-01 78 AVENUE,IS  119 & PLAYGROUND,"EDUC, PARKS","INTERMEDIATE SCHOOL, PLAYGRND/SPORTS AREA",103800,,1927,1,202462,W1,4,4038120020,103800,202462,1,1927,4038120020,1018886,196213,0.31,62763,2.52,2.28,48591,5.19,
253-50 149 AVENUE,PS 195 & PLAYGROUND (JOP),"EDUC, PARKS","ELEMENTARY SCHOOL, PLAYGRND/SPORTS AREA",126600,,1965,1,213338,W1,2,4136550001,126600,213338,1,1965,4136550001,1057612,177161,0.31,66135,2.52,2.28,51201,5.19,
